"id_student","gender","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","date_registration","sum_click","date_submitted","score","weight","module_presentation_length","final_result"
676909,"0","2","7","0",0,60,"0",-37,"524",207,92,22,269,"1"
676916,"1","0","8","1",0,180,"0",-38,"1853",207,67,22,269,"1"
676964,"1","1","6","1",0,120,"0",-92,"10133",207,67,22,269,"1"
677006,"0","2","9","0",0,90,"0",-66,"1583",207,34,22,269,"1"
677018,"0","0","1","0",0,120,"0",-88,"3591",205,81,22,269,"1"
677089,"1","0","5","1",0,60,"0",-53,"2427",206,94,22,269,"1"
677349,"1","0","1","0",0,150,"0",-74,"2498",206,87,22,269,"1"
677459,"0","2","4","0",0,120,"0",-74,"4275",206,70,22,269,"1"
677641,"0","2","5","1",0,60,"0",-38,"4379",206,88,22,269,"1"
677741,"0","0","7","0",0,60,"0",-9,"3320",206,82,22,269,"1"
678089,"1","0","0","0",0,120,"0",-71,"6604",206,88,22,269,"1"
678194,"0","0","9","1",0,60,"0",-38,"4433",214,69,22,269,"0"
678203,"0","1","5","0",0,120,"0",-94,"1965",229,53,22,269,"1"
678204,"0","2","4","0",0,120,"0",-53,"485",204,89,22,269,"1"
678339,"1","1","2","0",0,120,"1",-87,"1173",214,67,22,269,"1"
679039,"1","0","2","0",0,90,"0",-73,"633",214,61,22,269,"1"
679386,"0","1","7","0",0,120,"0",-23,"2471",206,29,22,269,"1"
679431,"0","0","1","0",0,150,"0",-66,"3101",206,96,22,269,"1"
679451,"1","1","1","0",0,60,"0",-71,"2737",206,99,22,269,"1"
679733,"0","1","1","0",0,150,"0",-57,"4290",190,98,22,269,"1"
679750,"0","1","3","0",0,30,"0",-56,"7882",207,77,22,269,"1"
679886,"0","2","3","1",0,60,"0",-71,"2482",207,93,22,269,"1"
679939,"0","0","9","0",0,120,"0",-37,"2351",207,50,22,269,"1"
680002,"1","0","2","0",0,120,"1",-60,"1202",203,91,22,269,"1"
680027,"0","0","3","1",0,120,"1",-23,"16153",207,99,22,269,"1"
680187,"1","2","9","0",0,60,"0",-24,"1585",206,95,22,269,"1"
680267,"0","0","3","1",0,60,"0",-10,"1398",207,84,22,269,"1"
680492,"0","2","4","1",0,90,"0",-79,"6051",207,91,22,269,"1"
680602,"0","0","3","0",0,60,"0",-66,"414",207,72,22,269,"1"
680687,"0","2","2","0",0,60,"0",-81,"2447",207,99,22,269,"1"
680765,"1","1","1","0",0,120,"0",-24,"3100",213,50,22,269,"0"
680804,"0","2","4","0",0,60,"0",-23,"3343",209,39,22,269,"1"
681165,"1","0","3","1",0,30,"0",-79,"2065",206,96,22,269,"1"
681235,"1","1","1","0",0,120,"0",-79,"3378",207,62,22,269,"1"
681302,"0","2","2","0",0,60,"0",-20,"1366",207,77,22,269,"1"
682301,"0","0","1","0",0,120,"0",-7,"1065",207,10,22,269,"1"
682367,"1","0","9","0",0,90,"0",-28,"1645",201,82,22,269,"1"
682511,"0","0","8","0",0,120,"0",-67,"3930",207,61,22,269,"1"
