gender,num_of_prev_attempts,studied_credits,disability,date_registration,sum_click,date_submitted,score,weight,module_presentation_length,A Level or Equivalent,Lower Than A Level,HE Qualification,Post Graduate Qualification,No Formal quals,0-10IMD,10-20IMD,20-30IMD,30-40IMD,40-50IMD,50-60IMD,60-70IMD,70-80IMD,80-90IMD,90-100IMD,0-35,35-55,55<=,final_result
0,0,60,0,-37,524.0,207,92,22.0,269,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,180,0,-38,1853.0,207,67,22.0,269,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,120,0,-92,10133.0,207,67,22.0,269,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,0,90,0,-66,1583.0,207,34,22.0,269,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,120,0,-88,3591.0,205,81,22.0,269,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0,60,0,-53,2427.0,206,94,22.0,269,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,150,0,-74,2498.0,206,87,22.0,269,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,120,0,-74,4275.0,206,70,22.0,269,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,60,0,-38,4379.0,206,88,22.0,269,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,60,0,-9,3320.0,206,82,22.0,269,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,120,0,-71,6604.0,206,88,22.0,269,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-38,4433.0,214,69,22.0,269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,120,0,-94,1965.0,229,53,22.0,269,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,120,0,-53,485.0,204,89,22.0,269,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,120,1,-87,1173.0,214,67,22.0,269,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,90,0,-73,633.0,214,61,22.0,269,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,0,120,0,-23,2471.0,206,29,22.0,269,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,150,0,-66,3101.0,206,96,22.0,269,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,0,60,0,-71,2737.0,206,99,22.0,269,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,150,0,-57,4290.0,190,98,22.0,269,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,30,0,-56,7882.0,207,77,22.0,269,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,60,0,-71,2482.0,207,93,22.0,269,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0,0,120,0,-37,2351.0,207,50,22.0,269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1,0,120,1,-60,1202.0,203,91,22.0,269,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
