"id_student","gender","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","date_registration","sum_click","date_submitted","score","weight","module_presentation_length","final_result"
551129,"1","0","9","0",0,60,"1",-67,"137",154,83,18,240,"1"
551274,"1","0","2","0",0,60,"0",-23,"6",159,66,18,240,"1"
551282,"1","2","4","0",0,60,"0",-36,"552",173,47,18,240,"0"
551480,"1","0","1","0",0,60,"0",-16,"526",166,68,18,240,"1"
551487,"1","1","0","0",0,120,"0",-16,"732",159,78,18,240,"1"
551576,"1","1","8","1",0,60,"0",-65,"1175",157,85,18,240,"1"
551702,"1","0","7","0",0,60,"0",-49,"269",166,58,18,240,"2"
551706,"1","0","8","0",0,60,"0",-21,"402",166,75,18,240,"1"
551714,"1","0","7","0",0,60,"0",-21,"507",159,47,18,240,"1"
551715,"1","2","8","0",0,60,"0",-11,"3286",162,76,18,240,"1"
551886,"1","0","0","0",0,120,"0",-52,"2290",165,85,18,240,"1"
551895,"1","0","2","0",0,60,"0",-49,"558",159,88,18,240,"1"
551938,"1","1","1","0",0,60,"0",-48,"434",164,60,18,240,"1"
552007,"1","0","7","1",0,60,"0",-52,"516",142,85,18,240,"1"
552017,"1","2","2","1",0,60,"0",-58,"1184",159,80,18,240,"1"
552039,"1","0","4","0",0,60,"1",-60,"880",159,55,18,240,"1"
552273,"0","1","4","0",0,60,"0",-30,"719",158,78,18,240,"1"
552535,"0","0","4","0",0,60,"0",-46,"191",159,67,18,240,"1"
552667,"0","1","3","1",0,60,"1",-59,"626",169,41,18,240,"1"
552701,"0","0","4","0",0,60,"0",-50,"458",159,54,18,240,"1"
552822,"1","1","5","0",0,60,"0",-58,"1019",159,68,18,240,"1"
552826,"1","2","9","1",0,60,"0",-21,"566",159,87,18,240,"1"
552894,"1","1","5","0",0,60,"0",-22,"962",159,72,18,240,"1"
552902,"0","0","7","0",0,60,"0",-46,"500",159,70,18,240,"1"
552914,"1","0","0","0",0,60,"0",-53,"2504",160,40,18,240,"0"
552929,"1","0","4","1",0,120,"0",-58,"1108",157,77,18,240,"1"
552991,"0","1","4","1",0,60,"0",-20,"282",167,71,18,240,"1"
553047,"1","1","6","0",0,60,"0",-23,"1373",159,95,18,240,"1"
553125,"1","0","3","1",0,120,"1",-58,"1390",158,87,18,240,"1"
553321,"1","0","7","1",0,60,"0",-43,"981",157,95,18,240,"1"
553462,"1","1","4","1",0,60,"0",-16,"169",159,73,18,240,"1"
553487,"1","0","6","0",0,120,"0",-55,"532",158,78,18,240,"1"
553502,"1","1","1","1",0,60,"0",-52,"6358",156,90,18,240,"1"
553508,"1","0","3","0",0,120,"1",-53,"210",158,72,18,240,"1"
553572,"1","0","2","1",0,60,"0",-11,"797",151,55,18,240,"1"
553716,"1","0","0","0",0,60,"0",-16,"175",143,61,18,240,"1"
553729,"1","1","0","0",0,60,"0",-36,"168",159,50,18,240,"0"
553800,"1","1","6","0",0,90,"0",-36,"133",159,48,18,240,"0"
553840,"1","0","3","1",0,60,"1",-46,"790",158,95,18,240,"1"
554083,"1","0","5","1",0,60,"0",-24,"840",159,80,18,240,"1"
554206,"1","1","2","0",0,180,"1",-51,"621",159,61,18,240,"1"
554226,"0","1","1","0",0,60,"0",-22,"1739",158,86,18,240,"1"
554336,"1","2","3","0",0,60,"0",-16,"739",158,91,18,240,"1"
554344,"1","1","3","0",0,60,"0",-23,"662",170,83,18,240,"1"
554352,"1","1","7","0",0,120,"0",-50,"949",159,83,18,240,"1"
554374,"1","0","3","0",0,120,"0",-49,"195",160,79,18,240,"1"
554551,"1","1","5","0",0,60,"0",-36,"586",155,68,18,240,"0"
554608,"1","1","6","1",0,120,"0",-50,"1227",159,93,18,240,"1"
554795,"1","0","0","1",0,60,"0",-30,"487",156,90,18,240,"1"
554830,"0","0","6","1",0,120,"0",-25,"603",164,80,18,240,"0"
554898,"1","1","2","0",0,60,"0",-15,"472",158,34,18,240,"0"
554930,"1","1","6","1",0,60,"0",-4,"603",173,43,18,240,"2"
554998,"0","1","3","0",0,120,"0",-34,"548",158,87,18,240,"1"
555059,"1","2","7","0",0,120,"0",-46,"1037",142,78,18,240,"1"
555086,"1","0","6","0",0,60,"0",-25,"719",158,60,18,240,"1"
555102,"0","1","8","0",0,60,"0",-25,"140",155,76,18,240,"1"
555263,"1","0","7","0",0,60,"0",-29,"876",157,60,18,240,"1"
555407,"1","0","1","0",0,60,"0",-46,"288",159,30,18,240,"0"
555414,"1","1","3","0",0,60,"0",-36,"747",158,77,18,240,"1"
555667,"1","2","7","0",0,120,"0",-44,"700",157,77,18,240,"1"
555670,"1","1","5","1",0,60,"0",-34,"1227",167,75,18,240,"1"
555672,"1","0","1","0",0,120,"0",-44,"1104",157,79,18,240,"1"
555673,"1","1","7","0",0,60,"0",-42,"3550",163,84,18,240,"0"
555674,"0","0","8","0",0,120,"0",-44,"1024",157,80,18,240,"1"
555675,"1","2","3","0",0,120,"0",-44,"1730",158,81,18,240,"1"
555695,"1","0","6","0",0,60,"0",-34,"1009",159,60,18,240,"1"
555747,"1","1","2","0",0,60,"1",-15,"2397",154,84,18,240,"1"
555838,"1","2","6","0",0,120,"0",-43,"687",157,89,18,240,"1"
556292,"1","1","8","0",0,120,"0",-24,"1171",159,90,18,240,"1"
556301,"1","2","7","1",0,120,"0",-34,"696",156,93,18,240,"1"
556349,"1","0","1","0",0,60,"0",-23,"259",162,36,18,240,"1"
556502,"1","1","1","0",0,60,"0",-34,"1897",154,87,18,240,"1"
556553,"1","0","3","0",0,60,"0",-34,"598",159,79,18,240,"1"
556605,"1","2","5","1",0,60,"0",-22,"257",166,70,18,240,"1"
556878,"1","1","2","0",0,60,"0",-30,"1176",164,60,18,240,"1"
556959,"1","0","6","0",0,60,"0",-22,"1146",159,67,18,240,"1"
556990,"1","1","5","1",0,60,"0",-30,"491",157,92,18,240,"1"
556992,"1","2","7","0",0,60,"0",-30,"439",166,56,18,240,"1"
556997,"1","0","1","1",0,60,"0",-30,"582",158,67,18,240,"1"
556999,"1","2","4","0",0,60,"0",-30,"320",174,80,18,240,"1"
557006,"1","1","2","1",0,60,"0",-30,"235",172,47,18,240,"1"
557024,"1","0","7","0",0,120,"0",-30,"792",158,67,18,240,"1"
557032,"1","2","8","1",0,120,"0",-30,"2722",157,80,18,240,"1"
557057,"0","1","4","1",0,60,"0",-29,"1426",184,80,18,240,"1"
557060,"1","2","2","1",0,60,"0",-29,"1134",187,70,18,240,"1"
557145,"1","0","4","1",0,60,"0",-23,"386",158,37,18,240,"0"
557220,"1","1","0","0",0,60,"0",-22,"801",160,85,18,240,"1"
557285,"1","1","7","1",0,60,"0",-25,"1157",159,74,18,240,"1"
557308,"1","0","1","0",0,75,"0",-22,"691",158,48,18,240,"0"
557325,"1","0","9","0",0,60,"0",-16,"619",159,69,18,240,"1"
557451,"1","1","0","0",0,60,"0",-28,"613",168,79,18,240,"0"
557528,"1","1","9","0",0,60,"0",-21,"1052",170,78,18,240,"1"
557594,"1","0","8","1",0,60,"0",-27,"476",165,64,18,240,"1"
557622,"1","1","1","0",0,60,"0",-27,"1668",161,95,18,240,"1"
557758,"1","1","2","1",0,60,"0",-25,"13144",157,85,18,240,"1"
557968,"1","0","4","0",0,70,"0",-27,"468",158,75,18,240,"1"
557979,"1","0","2","0",0,60,"0",-15,"191",159,49,18,240,"1"
558024,"1","0","2","0",0,60,"0",-22,"400",158,70,18,240,"1"
